id,drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
63609,906891,906780,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63612,907020,907013,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63616,1707346,1707164,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63620,19078924,708298,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63621,19078925,708298,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63632,725178,725131,15,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63675,717166,717136,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63695,1517989,1517824,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63743,19079119,922570,NA,NA,100000,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
63748,19079133,922570,500000,8510,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63757,19079154,785788,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63773,19079177,1116109,16.2,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63774,19079177,923829,30,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63912,19079250,734275,NA,NA,130,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63928,1136754,1135766,NA,NA,0.0025,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
64032,1551170,1551099,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64034,1551192,1551099,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64039,752205,752061,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64057,753629,753626,NA,NA,10,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64068,766819,766814,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64069,766820,766814,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64100,736021,735979,0.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64101,19079462,735979,1,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64157,938330,938268,8.6,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64161,19079497,739138,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64162,739209,739138,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64194,19079527,967823,1000,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64229,19079658,970250,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64249,1836452,1836430,NA,NA,80,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64250,1836452,1705674,NA,NA,16,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64275,19079712,950637,0.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64342,19137328,19137312,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64343,19137329,19137312,NA,NA,100,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64400,778478,778474,2,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64465,1507838,1507835,NA,NA,20,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
64514,19008523,19008339,10000,8510,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64554,19044609,19044522,220,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64556,712620,712615,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64559,1127433,1125315,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64643,1308972,1308738,0.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64658,1537684,1537655,NA,NA,200,8510,NA,45744809,NA,1970-01-01,2099-12-31,NA
64659,19079960,1771162,NA,NA,200,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64688,1555142,1555120,0.1,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64691,957136,956874,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64718,19080040,766529,2,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64729,19080095,1383925,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64732,19080125,954688,NA,NA,0.05,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
64734,19080128,1308216,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64735,19080129,1308216,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64755,718670,718583,2,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64760,1518013,1517824,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64771,785821,785788,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64772,785842,785788,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64789,19080217,948078,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64797,967434,966991,80,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64803,1539463,1539403,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64805,1036233,1036228,1000,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
64828,712643,712615,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65049,19082373,1748921,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65061,1340161,1340128,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65062,766842,766814,200,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65118,1113346,1112807,81,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65502,1308851,1308842,80,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
